	0	1	2	3	4	5	6	7	8
0	89966811921625	4257	nfsd	488846200	8	W	6	0	2c4787c7671c2f638777c4ab72859ce1
1	89967003980393	4253	nfsd	508455704	8	W	6	0	88b93b628d84082186026d9da044f173
2	89967004049935	4253	nfsd	508455712	8	W	6	0	b5e9f4e5ab62a4fff5313a606b0ad4e3
3	89967004093615	4253	nfsd	508455720	8	W	6	0	7af5556ad4d45263bcd8358867333dd4
4	89967324150054	4254	nfsd	508500288	8	W	6	0	88b93b628d84082186026d9da044f173
5	89967324197109	4254	nfsd	508500296	8	W	6	0	b5e9f4e5ab62a4fff5313a606b0ad4e3
6	89967324239522	4254	nfsd	508500304	8	W	6	0	fdb35b5aa60a373a67566d25f74e7387
7	89967404265337	4253	nfsd	508516672	8	W	6	0	88b93b628d84082186026d9da044f173
8	89967404311353	4253	nfsd	508516680	8	W	6	0	b5e9f4e5ab62a4fff5313a606b0ad4e3
9	89967404359328	4253	nfsd	508516688	8	W	6	0	e6434714a2358bc5f55005d6c5502d80
10	89968195447404	20782	gzip	283193112	8	R	6	0	ef58ea75660587908a49b83a338bff34
11	89968195487477	20782	gzip	283193120	8	R	6	0	980f03b2810fd0267bea07bc4f0c78fa
12	89968195487477	20782	gzip	283193120	8	R	6	0	980f03b2810fd0267bea07bc4f0c78fa
13	89968195525539	20782	gzip	283193128	8	R	6	0	3c935fd8d0e27f73cbbd276ba6714ca8
14	89968195525539	20782	gzip	283193128	8	R	6	0	3c935fd8d0e27f73cbbd276ba6714ca8
15	89968195563982	20782	gzip	283193136	8	R	6	0	25596181518ccd8a81ca7bc7689cacfc
16	89968195563982	20782	gzip	283193136	8	R	6	0	25596181518ccd8a81ca7bc7689cacfc
17	89968195602101	20782	gzip	283193144	8	R	6	0	2b3bf8cf18cdb68d661a0fafa9c1261e
18	89968195602101	20782	gzip	283193144	8	R	6	0	2b3bf8cf18cdb68d661a0fafa9c1261e
19	89968195640315	20782	gzip	283193152	8	R	6	0	27cde6bc0878df72e31c6e66b845b829
20	89968195640315	20782	gzip	283193152	8	R	6	0	27cde6bc0878df72e31c6e66b845b829
21	89968195678296	20782	gzip	283193160	8	R	6	0	8823cdd07e3271a1ff4ed78b03ed1ab8
22	89968195678296	20782	gzip	283193160	8	R	6	0	8823cdd07e3271a1ff4ed78b03ed1ab8
23	89968195716396	20782	gzip	283193168	8	R	6	0	6566ab553164e422dcd29189276bf26a
24	89968195716396	20782	gzip	283193168	8	R	6	0	6566ab553164e422dcd29189276bf26a
25	89968195754551	20782	gzip	283193176	8	R	6	0	95237a0f35d1822d74c2ed6593f9e340
26	89968195754551	20782	gzip	283193176	8	R	6	0	95237a0f35d1822d74c2ed6593f9e340
27	89968195792462	20782	gzip	283193184	8	R	6	0	56f11b711d91a065a2b6458eca924523
28	89968195792462	20782	gzip	283193184	8	R	6	0	56f11b711d91a065a2b6458eca924523
29	89968196495775	20782	gzip	283193208	8	R	6	0	fe15812fa1acede50f71a4ea8f91f960
30	89968196495775	20782	gzip	283193208	8	R	6	0	fe15812fa1acede50f71a4ea8f91f960
31	89968196765654	20782	gzip	283193216	8	R	6	0	3dea44f369431fa2b80401045fa9fe6c
32	89968196765654	20782	gzip	283193216	8	R	6	0	3dea44f369431fa2b80401045fa9fe6c
33	89968196804395	20782	gzip	283193224	8	R	6	0	10838be92bde8a4fa37424860a720217
34	89968196804395	20782	gzip	283193224	8	R	6	0	10838be92bde8a4fa37424860a720217
35	89968196842234	20782	gzip	283193232	8	R	6	0	6a086a1836d0dba5f5d6fd9a09bfb4a4
36	89968196842234	20782	gzip	283193232	8	R	6	0	6a086a1836d0dba5f5d6fd9a09bfb4a4
37	89968196880521	20782	gzip	283193240	8	R	6	0	eb2d206dca8124401d6c01cd18c1650e
38	89968196880521	20782	gzip	283193240	8	R	6	0	eb2d206dca8124401d6c01cd18c1650e
39	89968196918546	20782	gzip	283193248	8	R	6	0	a55d2a35389684bff6955eb07b509834
40	89968196918546	20782	gzip	283193248	8	R	6	0	a55d2a35389684bff6955eb07b509834
41	89968196956457	20782	gzip	283193256	8	R	6	0	e735e81b618c853ae1aba81cc7ef5f00
42	89968196956457	20782	gzip	283193256	8	R	6	0	e735e81b618c853ae1aba81cc7ef5f00
43	89968196994365	20782	gzip	283193264	8	R	6	0	2a70ab29b4373ac4744ab631489d86a6
44	89968196994365	20782	gzip	283193264	8	R	6	0	2a70ab29b4373ac4744ab631489d86a6
45	89968197157814	20782	gzip	283193272	8	R	6	0	323077d0b0681f6df85e92ccd05ca801
46	89968197157814	20782	gzip	283193272	8	R	6	0	323077d0b0681f6df85e92ccd05ca801
47	89968197353713	20782	gzip	283193280	8	R	6	0	8b49c7dbb0e20816f95c1549b5e54971
48	89968197353713	20782	gzip	283193280	8	R	6	0	8b49c7dbb0e20816f95c1549b5e54971
49	89968197391512	20782	gzip	283193288	8	R	6	0	0b028eb46a92e91e3d0876d9a284077d
50	89968197391512	20782	gzip	283193288	8	R	6	0	0b028eb46a92e91e3d0876d9a284077d
51	89968197429047	20782	gzip	283193296	8	R	6	0	81c37220fa9e6593278a7bcdb9379eda
52	89968197429047	20782	gzip	283193296	8	R	6	0	81c37220fa9e6593278a7bcdb9379eda
53	89968197467139	20782	gzip	283193304	8	R	6	0	8bb91823c29b0180ef08c2bbfd8a8190
54	89968197467139	20782	gzip	283193304	8	R	6	0	8bb91823c29b0180ef08c2bbfd8a8190
55	89968207738962	20782	gzip	283193192	8	R	6	0	8ca9b286b1b84f2a46ef6b13c521c446
56	89968207738962	20782	gzip	283193192	8	R	6	0	8ca9b286b1b84f2a46ef6b13c521c446
57	89968207778347	20782	gzip	283193200	8	R	6	0	d7b6a84334b406294b64bbfd52771ed1
58	89968207778347	20782	gzip	283193200	8	R	6	0	d7b6a84334b406294b64bbfd52771ed1
59	89968208631620	20782	gzip	283193312	8	R	6	0	573c40cf8d3f3d2e56e4db5814ead441
60	89968208631620	20782	gzip	283193312	8	R	6	0	573c40cf8d3f3d2e56e4db5814ead441
61	89968208670689	20782	gzip	283193320	8	R	6	0	0efed8400aa0d04d2c244f9a9355adf0
62	89968208670689	20782	gzip	283193320	8	R	6	0	0efed8400aa0d04d2c244f9a9355adf0
63	89968208708687	20782	gzip	283193328	8	R	6	0	e8d3dbf69f911b8b8031d9c9a2833f8d
64	89968208708687	20782	gzip	283193328	8	R	6	0	e8d3dbf69f911b8b8031d9c9a2833f8d
65	89968208746378	20782	gzip	283193336	8	R	6	0	c6b3db652ddf8359ac3ba582815b2d3e
66	89968208746378	20782	gzip	283193336	8	R	6	0	c6b3db652ddf8359ac3ba582815b2d3e
67	89968208783971	20782	gzip	283193344	8	R	6	0	b20b6eb808cbf6693ca98caeadf2bddf
68	89968208783971	20782	gzip	283193344	8	R	6	0	b20b6eb808cbf6693ca98caeadf2bddf
69	89968208821419	20782	gzip	283193352	8	R	6	0	b516ae13ec57290d88ad7d429cea630c
70	89968208821419	20782	gzip	283193352	8	R	6	0	b516ae13ec57290d88ad7d429cea630c
71	89968208859080	20782	gzip	283193360	8	R	6	0	b48835032268040898ea548ce27e3eff
72	89968208859080	20782	gzip	283193360	8	R	6	0	b48835032268040898ea548ce27e3eff
73	89968208896871	20782	gzip	283193368	8	R	6	0	a87827bf482edd05bd00fb08c9eeb399
74	89968208896871	20782	gzip	283193368	8	R	6	0	a87827bf482edd05bd00fb08c9eeb399
75	89968219391830	20782	gzip	283193376	8	R	6	0	c0802cae9644cc60b51ec6b4d1a01996
76	89968219391830	20782	gzip	283193376	8	R	6	0	c0802cae9644cc60b51ec6b4d1a01996
77	89968219431025	20782	gzip	283193384	8	R	6	0	651b17422dfe7407c0d9f814c524da2f
78	89968219431025	20782	gzip	283193384	8	R	6	0	651b17422dfe7407c0d9f814c524da2f
79	89968219468648	20782	gzip	283193392	8	R	6	0	6d929a471cb73e57b0400e54b4ab48bc
80	89968219468648	20782	gzip	283193392	8	R	6	0	6d929a471cb73e57b0400e54b4ab48bc
81	89968219506950	20782	gzip	283193400	8	R	6	0	edd814d463c1310dffa0b7fc56a2911d
82	89968219506950	20782	gzip	283193400	8	R	6	0	edd814d463c1310dffa0b7fc56a2911d
83	89968219544638	20782	gzip	283193408	8	R	6	0	1b6cfc12ecbcb1330a6dd4d210c5e4ce
84	89968219544638	20782	gzip	283193408	8	R	6	0	1b6cfc12ecbcb1330a6dd4d210c5e4ce
85	89968219582700	20782	gzip	283193416	8	R	6	0	f26e79d689f5618de4c19b29ba1bff0d
86	89968219582700	20782	gzip	283193416	8	R	6	0	f26e79d689f5618de4c19b29ba1bff0d
87	89968219620514	20782	gzip	283193424	8	R	6	0	85340215363e38ac2109a060cdc78e51
88	89968219620514	20782	gzip	283193424	8	R	6	0	85340215363e38ac2109a060cdc78e51
89	89968219658410	20782	gzip	283193432	8	R	6	0	bebac63f79a7d0c0b0199b60f8ba2950
90	89968219658410	20782	gzip	283193432	8	R	6	0	bebac63f79a7d0c0b0199b60f8ba2950
91	89968219695738	20782	gzip	283193440	8	R	6	0	4253e5319f58002ae491f169362925ff
92	89968219695738	20782	gzip	283193440	8	R	6	0	4253e5319f58002ae491f169362925ff
93	89968219732960	20782	gzip	283193448	8	R	6	0	4bf561b69e9e908523246b63f6887e1b
94	89968219732960	20782	gzip	283193448	8	R	6	0	4bf561b69e9e908523246b63f6887e1b
95	89968220163615	20782	gzip	283193456	8	R	6	0	14036c5b5f5a6de6cb10aea6555145b4
96	89968220163615	20782	gzip	283193456	8	R	6	0	14036c5b5f5a6de6cb10aea6555145b4
97	89968220202847	20782	gzip	283193464	8	R	6	0	dd65fc01ca7c9c572fe223c49493398f
98	89968220202847	20782	gzip	283193464	8	R	6	0	dd65fc01ca7c9c572fe223c49493398f
99	89968220240782	20782	gzip	283193472	8	R	6	0	6d6f4aaa0b39d3351b77296835a94e7f
100	89968220240782	20782	gzip	283193472	8	R	6	0	6d6f4aaa0b39d3351b77296835a94e7f
101	89968220278641	20782	gzip	283193480	8	R	6	0	580a13aab56d9878158831d61e879fd8
102	89968220278641	20782	gzip	283193480	8	R	6	0	580a13aab56d9878158831d61e879fd8
103	89968220316646	20782	gzip	283193488	8	R	6	0	ebb9f9250efdd01fdc86b0dd5b57239b
104	89968220316646	20782	gzip	283193488	8	R	6	0	ebb9f9250efdd01fdc86b0dd5b57239b
105	89968220354487	20782	gzip	283193496	8	R	6	0	88ee13448eccc4d46e31fe123d75245c
106	89968220354487	20782	gzip	283193496	8	R	6	0	88ee13448eccc4d46e31fe123d75245c
107	89968220392206	20782	gzip	283193504	8	R	6	0	541e2fd06c9036acde1098640cf4cc37
108	89968220392206	20782	gzip	283193504	8	R	6	0	541e2fd06c9036acde1098640cf4cc37
109	89968220429729	20782	gzip	283193512	8	R	6	0	76f5c650097c4d5da318935d33224f18
110	89968220429729	20782	gzip	283193512	8	R	6	0	76f5c650097c4d5da318935d33224f18
111	89968220467411	20782	gzip	283193520	8	R	6	0	0d570a9eec4a90c01875623b89d95349
112	89968220467411	20782	gzip	283193520	8	R	6	0	0d570a9eec4a90c01875623b89d95349
113	89968220504628	20782	gzip	283193528	8	R	6	0	20bba693c8f7c1b7ce492a0574627a9d
114	89968220504628	20782	gzip	283193528	8	R	6	0	20bba693c8f7c1b7ce492a0574627a9d
115	89968231456491	20782	gzip	283193536	8	R	6	0	6294cdd5c40066ee34f0a11722477afe
116	89968231456491	20782	gzip	283193536	8	R	6	0	6294cdd5c40066ee34f0a11722477afe
117	89968231496189	20782	gzip	283193544	8	R	6	0	1259b5680dd2275634b51a667b4724ce
118	89968231496189	20782	gzip	283193544	8	R	6	0	1259b5680dd2275634b51a667b4724ce
119	89968231533901	20782	gzip	283193552	8	R	6	0	cc0ff43d9603db2b1a2a1adb3ee291fd
120	89968231533901	20782	gzip	283193552	8	R	6	0	cc0ff43d9603db2b1a2a1adb3ee291fd
121	89968231571758	20782	gzip	283193560	8	R	6	0	6299fd519f5717cb40ea899e60e9d3c2
122	89968231571758	20782	gzip	283193560	8	R	6	0	6299fd519f5717cb40ea899e60e9d3c2
123	89968231609690	20782	gzip	283193568	8	R	6	0	798ffd1f693a50fb1f39ded123172691
124	89968231609690	20782	gzip	283193568	8	R	6	0	798ffd1f693a50fb1f39ded123172691
125	89968231647721	20782	gzip	283193576	8	R	6	0	22a51e47edd74b7406b1d87fd90cd098
126	89968231647721	20782	gzip	283193576	8	R	6	0	22a51e47edd74b7406b1d87fd90cd098
127	89968231685332	20782	gzip	283193584	8	R	6	0	0d8d16bbf78c302167648b11c48c32a6
128	89968231685332	20782	gzip	283193584	8	R	6	0	0d8d16bbf78c302167648b11c48c32a6
129	89968231722825	20782	gzip	283193592	8	R	6	0	1c970c110a5b3e352993f5f02646daa9
130	89968231722825	20782	gzip	283193592	8	R	6	0	1c970c110a5b3e352993f5f02646daa9
131	89968231760456	20782	gzip	283193600	8	R	6	0	129ebbbf6348ff3fa1cd3f88c833e93b
132	89968231760456	20782	gzip	283193600	8	R	6	0	129ebbbf6348ff3fa1cd3f88c833e93b
133	89968231797750	20782	gzip	283193608	8	R	6	0	f20694008633f6bdca1d5981b7391d07
134	89968231797750	20782	gzip	283193608	8	R	6	0	f20694008633f6bdca1d5981b7391d07
135	89968239419900	20782	gzip	283193616	8	R	6	0	38e26b1331d8f1d156eed6187310e125
136	89968239419900	20782	gzip	283193616	8	R	6	0	38e26b1331d8f1d156eed6187310e125
137	89968239459754	20782	gzip	283193624	8	R	6	0	d42f166d9d64a77a6a1f0de0d2c10cc2
138	89968239459754	20782	gzip	283193624	8	R	6	0	d42f166d9d64a77a6a1f0de0d2c10cc2
139	89968239497855	20782	gzip	283193632	8	R	6	0	2aee0caa9af78e9f01519a3d4e0d1ed3
140	89968239497855	20782	gzip	283193632	8	R	6	0	2aee0caa9af78e9f01519a3d4e0d1ed3
141	89968239536716	20782	gzip	283193640	8	R	6	0	2aed743e5ffe73b1c36bf5d9a4af07fc
142	89968239536716	20782	gzip	283193640	8	R	6	0	2aed743e5ffe73b1c36bf5d9a4af07fc
143	89968239574618	20782	gzip	283193648	8	R	6	0	477d7cb9a9087be58761aa7df0f539ae
144	89968239574618	20782	gzip	283193648	8	R	6	0	477d7cb9a9087be58761aa7df0f539ae
145	89968239612785	20782	gzip	283193656	8	R	6	0	c0fbef97af54831cf7c726338d28b39d
146	89968239612785	20782	gzip	283193656	8	R	6	0	c0fbef97af54831cf7c726338d28b39d
147	89968239650915	20782	gzip	283193664	8	R	6	0	218590b9a6be7656ffc96ceffd1a1fdd
148	89968239650915	20782	gzip	283193664	8	R	6	0	218590b9a6be7656ffc96ceffd1a1fdd
149	89968239688369	20782	gzip	283193672	8	R	6	0	416cb1a8b8f61e32943d105518ddcaed
150	89968239688369	20782	gzip	283193672	8	R	6	0	416cb1a8b8f61e32943d105518ddcaed
151	89968239726169	20782	gzip	283193680	8	R	6	0	69ba46983f7ca86b4f7ccc1631c85fde
152	89968239726169	20782	gzip	283193680	8	R	6	0	69ba46983f7ca86b4f7ccc1631c85fde
153	89968239763683	20782	gzip	283193688	8	R	6	0	a1c07292e5f2e751e79636cf18110c70
154	89968239763683	20782	gzip	283193688	8	R	6	0	a1c07292e5f2e751e79636cf18110c70
155	89968240068908	20782	gzip	395126368	8	R	6	0	525c0e071969d7f5048a47d3dd805813
156	89968240068908	20782	gzip	395126368	8	R	6	0	525c0e071969d7f5048a47d3dd805813
157	89968240745586	20782	gzip	283193696	8	R	6	0	be03f89f0f3dccf3686126ddb07d6d93
158	89968240745586	20782	gzip	283193696	8	R	6	0	be03f89f0f3dccf3686126ddb07d6d93
159	89968240784543	20782	gzip	283193704	8	R	6	0	2e4aba44e99edc82a455aca3551531a4
160	89968240784543	20782	gzip	283193704	8	R	6	0	2e4aba44e99edc82a455aca3551531a4
161	89968240822445	20782	gzip	283193712	8	R	6	0	24867d77766832249c33f3ce2c9728f0
162	89968240822445	20782	gzip	283193712	8	R	6	0	24867d77766832249c33f3ce2c9728f0
